"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 3.10.562";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"12500.9";"";"3407";"1.14";"1.42";"0.07";"41.67";"0.83";"0.0";"2211.92";"0.92";"5.65";"1.19";"63.36";"51.08";"20.14";"16.54";"18.26";"12.73";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.3.342";"PASSED";"0.89";"NDXm_TICK_UTCPlus02";"M15";"8488.72";"";"1567";"1.2";"1.44";"0.11";"28.3";"0.78";"0.0";"815.81";"0.93";"10.41";"1.32";"66.46";"51.34";"16.46";"13.2";"14.77";"4.5";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.3.454";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"3482.32";"";"702";"1.18";"0.83";"0.1";"11.61";"0.86";"0.0";"1120.46";"0.83";"3.11";"0.48";"72.08";"50.62";"23.68";"17.14";"20.1";"2.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.3.490";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"6119.39";"";"1978";"1.15";"1.1";"0.06";"20.4";"0.82";"0.0";"1229.06";"1.43";"4.98";"0.64";"41.11";"51.26";"11.4";"11.75";"11.54";"7.94";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.356";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"7658.09";"";"1911";"1.19";"1.4";"0.08";"25.53";"0.87";"0.0";"1374.11";"1.51";"5.57";"0.68";"40.82";"51.62";"14.06";"14.17";"14.1";"10.34";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.379";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"3669.25";"";"698";"1.18";"0.82";"0.1";"12.23";"0.87";"0.0";"1037.59";"0.75";"3.54";"0.52";"79.79";"50.6";"26.92";"18.31";"22.0";"2.69";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.489";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"7121.89";"";"1152";"1.24";"1.36";"0.12";"23.74";"0.88";"0.0";"935.61";"0.99";"7.61";"1.25";"64.73";"51.56";"18.06";"15.44";"16.74";"4.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.515";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"5391.39";"";"853";"1.24";"1.18";"0.12";"17.97";"0.78";"0.0";"794.09";"0.92";"6.79";"0.98";"69.06";"51.47";"18.4";"15.04";"16.65";"3.45";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.4.528";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"6841.02";"";"2235";"1.13";"1.02";"0.06";"22.8";"0.85";"0.0";"1542.39";"1.12";"4.44";"0.65";"52.18";"51.78";"27.07";"22.84";"25.07";"17.06";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.5.430";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"6139.44";"";"941";"1.21";"1.07";"0.13";"20.46";"0.84";"0.0";"1006.96";"0.63";"6.1";"0.82";"99.3";"51.74";"30.3";"16.79";"22.0";"4.96";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
