"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.9.428";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"11433.23";"";"2317";"1.18";"1.44";"0.09";"38.11";"0.85";"0.0";"1335.02";"0.86";"8.56";"1.18";"70.84";"52.01";"24.57";"17.82";"20.95";"13.66";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.443";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"7011.4";"";"1803";"1.13";"0.98";"0.07";"23.37";"0.82";"0.0";"1265.83";"0.74";"5.54";"0.76";"79.72";"52.25";"39.14";"27.19";"32.27";"16.26";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.481";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"6902.74";"";"2419";"1.12";"1.07";"0.06";"23.01";"0.86";"0.0";"1328.26";"1.19";"5.2";"0.76";"48.1";"50.86";"21.09";"20.28";"20.72";"6.64";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.510";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"5990.77";"";"1289";"1.18";"1.08";"0.09";"19.97";"0.8";"0.0";"1121.5";"0.98";"5.34";"0.69";"62.93";"52.3";"29.32";"23.59";"26.43";"11.13";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.537";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"10385.83";"";"3257";"1.11";"1.11";"0.06";"34.62";"0.89";"0.0";"1398.43";"0.76";"7.43";"0.88";"75.02";"51.17";"20.31";"14.61";"17.07";"9.08";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.542";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"11232.94";"";"2901";"1.13";"1.18";"0.07";"37.44";"0.89";"0.0";"1863.35";"0.7";"6.03";"0.98";"84.02";"52.03";"26.16";"17.37";"20.98";"17.98";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.574";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"8898.69";"";"2900";"1.12";"1.18";"0.06";"29.66";"0.92";"0.0";"1230.1";"0.97";"7.23";"1.0";"58.46";"50.44";"31.01";"27.0";"28.97";"7.98";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.1.389";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"9286.27";"";"2829";"1.13";"1.19";"0.06";"30.95";"0.87";"0.0";"1441.09";"1.08";"6.44";"0.98";"54.05";"51.55";"13.68";"12.28";"13.01";"11.68";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.1.428";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"6618.13";"";"966";"1.23";"1.15";"0.13";"22.06";"0.81";"0.0";"1567.78";"0.71";"4.22";"0.71";"88.76";"51.04";"19.28";"14.6";"16.54";"2.35";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.313";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"5865.95";"";"2584";"1.1";"0.88";"0.04";"19.55";"0.87";"0.0";"1442.88";"1.31";"4.07";"0.62";"43.54";"51.59";"16.46";"16.19";"16.34";"13.32";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
