"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.10.572";"";"0.86";"NDXm_TICK_UTCPlus02";"M15";"2593.74";"";"2329";"1.14";"1.4";"0.07";"64.84";"0.75";"0.0";"333.62";"0.94";"7.77";"1.41";"18.28";"15.06";"19.95";"16.76";"18.31";"12.33";"0.86";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.308";"";"0.82";"NDXm_TICK_UTCPlus02";"M15";"1938.2";"";"2189";"1.11";"1.08";"0.06";"48.45";"0.89";"0.0";"327.94";"0.86";"5.91";"1.22";"19.08";"14.85";"19.47";"15.24";"17.2";"11.39";"0.82";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.573";"";"0.77";"NDXm_TICK_UTCPlus02";"M15";"2265.71";"";"2187";"1.11";"1.02";"0.07";"56.64";"0.78";"0.0";"543.2";"0.61";"4.17";"1.22";"27.21";"15.03";"29.77";"19.19";"23.22";"17.28";"0.77";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.383";"";"0.79";"NDXm_TICK_UTCPlus02";"M15";"1049.57";"";"705";"1.18";"0.92";"0.1";"26.24";"0.68";"0.0";"228.62";"0.72";"4.59";"0.92";"23.68";"14.38";"17.54";"10.82";"13.62";"1.72";"0.79";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.352";"";"0.85";"NDXm_TICK_UTCPlus02";"M15";"2897.97";"";"2543";"1.14";"1.36";"0.08";"72.45";"0.9";"0.0";"400.0";"0.71";"7.24";"1.67";"22.93";"14.26";"15.32";"10.06";"12.24";"9.06";"0.85";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.377";"";"0.71";"NDXm_TICK_UTCPlus02";"M15";"984.09";"";"992";"1.11";"0.72";"0.07";"24.6";"0.81";"0.0";"352.04";"0.7";"2.8";"0.8";"23.96";"15.05";"30.65";"21.64";"25.34";"8.39";"0.71";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.398";"";"0.76";"NDXm_TICK_UTCPlus02";"M15";"1389.88";"";"1234";"1.14";"1.0";"0.07";"34.75";"0.81";"0.0";"366.64";"0.88";"3.79";"0.88";"19.66";"15.15";"19.75";"15.1";"17.27";"9.61";"0.76";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.406";"";"0.78";"NDXm_TICK_UTCPlus02";"M15";"1682.44";"";"1887";"1.11";"0.94";"0.06";"42.07";"0.81";"0.0";"386.86";"0.78";"4.35";"1.22";"20.87";"14.6";"17.16";"11.97";"14.24";"8.94";"0.78";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.374";"";"0.8";"NDXm_TICK_UTCPlus02";"M15";"1573.01";"";"2084";"1.11";"1.05";"0.05";"39.32";"0.87";"0.0";"306.73";"1.17";"5.13";"0.95";"14.21";"14.94";"19.45";"17.99";"18.78";"11.39";"0.8";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.495";"";"0.87";"NDXm_TICK_UTCPlus02";"M15";"2564.24";"";"952";"1.33";"1.88";"0.18";"64.1";"0.9";"0.0";"290.03";"0.83";"8.84";"3.95";"23.68";"14.74";"18.19";"13.31";"15.52";"3.39";"0.87";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
